title,slug,description,original_url,video_url,image_url,thumbnail,detail_url,categories,tags
Artprize Shadows,artprize-shadows,"The fifth edition of Art Here 2025 explored shadows beneath Louvre Abu Dhabi’s Dome, uniting 6 artworks by 7 artists in a journey through light and perception.",https://artprize-shadows.com/,https://cdn.landing.love/videos/artprize-shadows.mp4,https://cdn.landing.love/images/artprize-shadows.webp,https://cdn.landing.love/images/artprize-shadows-thumb.webp,https://www.landing.love/sites/artprize-shadows/,"minimal, 3d-website, lifestyle, design, art","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Iaslf,iaslf,"A curated archive of selected digital works by IaSlf, specializing in high-fidelity interactive design, creative development, and visual systems from 2021 to 2025.",https://www.iaslf.dev/,https://cdn.landing.love/videos/iaslf.mp4,https://cdn.landing.love/images/iaslf.webp,https://cdn.landing.love/images/iaslf-thumb.webp,https://www.landing.love/sites/iaslf/,"minimal, portfolio","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Maikasui,maikasui,Natural beauty from sake treasures. Vegan Japanese cosmetics that care for your hands — free from parabens and silicones.,https://maikasui.com/,https://cdn.landing.love/videos/maikasui.mp4,https://cdn.landing.love/images/maikasui.webp,https://cdn.landing.love/images/maikasui-thumb.webp,https://www.landing.love/sites/maikasui/,"minimal, ecommerce, lifestyle, beauty","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS, eCommerce"
Teateearu,teateearu,"Tea Teearu is a web designer and developer with nearly a decade of front-end experience, focused on clean, accessible code and clear workflows shaped by years in digital agencies.",https://teateearu.com/,https://cdn.landing.love/videos/teateearu.mp4,https://cdn.landing.love/images/teateearu.webp,https://cdn.landing.love/images/teateearu-thumb.webp,https://www.landing.love/sites/teateearu/,"minimal, portfolio","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Balance,balance,"We offer the idyllic farm escape. The property provides the space, peace, and seclusion with exceptionally private cabins, a world-class farm, an exclusive spa, and veganic dining.",https://www.balance.farm/,https://cdn.landing.love/videos/balance.mp4,https://cdn.landing.love/images/balance.webp,https://cdn.landing.love/images/balance-thumb.webp,https://www.landing.love/sites/balance/,"minimal, technology, business, health","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS, eCommerce"
Nicolaromei,nicolaromei,"Digital Experience Designer and Awwwards Judge, creating immersive websites with strong visual direction, refined motion, and a distinct design signature.",https://www.nicolaromei.com/,https://cdn.landing.love/videos/nicolaromei.mp4,https://cdn.landing.love/images/nicolaromei.webp,https://cdn.landing.love/images/nicolaromei-thumb.webp,https://www.landing.love/sites/nicolaromei/,"minimal, portfolio","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Cathydolle 2,cathydolle-2,"Cathy Dolle is a designer and front-end developer who creates simple, thoughtful digital experiences with a minimalist, detail-driven approach. She enjoys shaping quiet, refined identities and occasionally shares her creative process on Twitch",https://www.cathydolle.com/,https://cdn.landing.love/videos/cathydolle-2.mp4,https://cdn.landing.love/images/cathydolle-2.webp,https://cdn.landing.love/images/cathydolle-2-thumb.webp,https://www.landing.love/sites/cathydolle-2/,"minimal, portfolio","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Arvinleeuwis 3,arvinleeuwis-3,"Blending creative direction and technology, I create interactive work rooted in culture that elevates stories, products, and experiences.",https://arvinleeuwis.com/,https://cdn.landing.love/videos/arvinleeuwis-3.mp4,https://cdn.landing.love/images/arvinleeuwis-3.webp,https://cdn.landing.love/images/arvinleeuwis-3-thumb.webp,https://www.landing.love/sites/arvinleeuwis-3/,"minimal, portfolio, studio","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Victoriagee,victoriagee,"Photographer and filmmaker specialising in visual narratives linked to identity, regional memory and music.",https://victoriagee.es/en,https://cdn.landing.love/videos/victoriagee.mp4,https://cdn.landing.love/images/victoriagee.webp,https://cdn.landing.love/images/victoriagee-thumb.webp,https://www.landing.love/sites/victoriagee/,"minimal, portfolio, photography","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Stripe Tacit,stripe-tacit,We know more than we can tell. Watch the films annotated bibliograhpy director's note.,https://www.stripe.press/tacit,https://cdn.landing.love/videos/stripe-tacit.mp4,https://cdn.landing.love/images/stripe-tacit.webp,https://cdn.landing.love/images/stripe-tacit-thumb.webp,https://www.landing.love/sites/stripe-tacit/,"minimal, film, education, books","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Statementof,statementof,"A content studio providing creative, production, and strategy services for projects of any scale or location. With a dynamic approach to creative production, we're your partner for crafting impactful campaigns, expanding content libraries, and empowering social platforms with bold content creation. Collaborating closely with in-house brand teams, agencies, and publishers, we solve creative challenges with resourcefulness, innovative thinking, and a distinct perspective.",https://www.statementof.com,https://cdn.landing.love/videos/statementof.mp4,https://cdn.landing.love/images/statementof.webp,https://cdn.landing.love/images/statementof-thumb.webp,https://www.landing.love/sites/statementof/,"minimal, studio, horizontal-scroll","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Prototypestudio,prototypestudio,"Prototype is a creative-driven hybrid structure, a one-stop shop, from ideas to execution. We are not just a production house, we are an agency, a design studio, and a digital factory all in one place.",https://www.prototypestudio.fr/,https://cdn.landing.love/videos/prototypestudio.mp4,https://cdn.landing.love/images/prototypestudio.webp,https://cdn.landing.love/images/prototypestudio-thumb.webp,https://www.landing.love/sites/prototypestudio/,"minimal, studio, agency","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Krisztianeder,krisztianeder,"Now based in New York, he often photographs the world around him with a quiet curiosity—favoring natural light, fleeting gestures, and unscripted moments. His work reflects a sustained engagement with presence and attention: an attempt to look closely, and with care.",https://krisztianeder.com/,https://cdn.landing.love/videos/krisztianeder.mp4,https://cdn.landing.love/images/krisztianeder.webp,https://cdn.landing.love/images/krisztianeder-thumb.webp,https://www.landing.love/sites/krisztianeder/,"minimal, portfolio, photography","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Jeankhamkwan,jeankhamkwan,"Khamkwan Duangmanee or Jean is a Bangkok, Thailand based film director. She graduated in Fashion Design at Chulalongkorn University in 2015. She left Fashion industry, decided to followed her passion and brought out her fashion knowledge combined with her style in film directing.",https://jeankhamkwan.com,https://cdn.landing.love/videos/jeankhamkwan.mp4,https://cdn.landing.love/images/jeankhamkwan.webp,https://cdn.landing.love/images/jeankhamkwan-thumb.webp,https://www.landing.love/sites/jeankhamkwan/,"minimal, portfolio, film","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Jackiezhang,jackiezhang,"Hey there, I'm Jackie, a product designer based in beautiful Cape Town, South Africa. ☀️. I design tools that help people do their best work.",https://jackiezhang.co.za/,https://cdn.landing.love/videos/jackiezhang.mp4,https://cdn.landing.love/images/jackiezhang.webp,https://cdn.landing.love/images/jackiezhang-thumb.webp,https://www.landing.love/sites/jackiezhang/,"minimal, portfolio, illustration","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Felixpeault,felixpeault,"Observations of a world in motion and a quest for unordinary moments within the ordinary, captured by Félix Péault.",https://felixpeault.com/,https://cdn.landing.love/videos/felixpeault.mp4,https://cdn.landing.love/images/felixpeault.webp,https://cdn.landing.love/images/felixpeault-thumb.webp,https://www.landing.love/sites/felixpeault/,"minimal, portfolio, photography, lifestyle","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Erimus,erimus,"Studio Erimus is the design practice of Jack Milburn – championing a strategic, story-first approach to brand design, creation and art direction.",https://erimus.studio,https://cdn.landing.love/videos/erimus.mp4,https://cdn.landing.love/images/erimus.webp,https://cdn.landing.love/images/erimus-thumb.webp,https://www.landing.love/sites/erimus/,"minimal, studio","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
Dayjob,dayjob,"We make brands, campaigns, and websites.",https://dayjob.work,https://cdn.landing.love/videos/dayjob.mp4,https://cdn.landing.love/images/dayjob.webp,https://cdn.landing.love/images/dayjob-thumb.webp,https://www.landing.love/sites/dayjob/,"minimal, studio, agency, os","Minimal1298, 3D Website512, Portfolio511, Studio485, Agency335, Illustration258, ECommerce182, Photography180, Horizontal Scroll128, Technology114, Film98, Lifestyle88, SaaS74, Typography72, Marketing64, Fashion63, Food Drink60, Finance49, Home Living44, Music44, Design43, App40, Business40, Hardware38, AI34, Art31, Education30, Venture29, Architecture26, Crypto25, Health25, Development23, NFT23, Event22, Gaming21, Real Estate19, OS18, Automotive14, Beauty14, Books14, Travel12, Sports11, Web310, DeFi9, Open Source6, Marketplace3, Newsletter2, Minimal""1, Dark Mode573, Gradient155, Retro145, Light Mode47, GSAP179, WebGL115, ThreeJS64, Minimal, 3D Website, Portfolio, Studio, Agency, Illustration, ECommerce, Photography, Horizontal Scroll, Technology, Film, Lifestyle, SaaS, Typography, Marketing, Fashion, Food Drink, Finance, Home Living, Music, Design, App, Business, Hardware, AI, Art, Education, Venture, Architecture, Crypto, Health, Development, NFT, Event, Gaming, Real Estate, OS, Automotive, Beauty, Books, Travel, Sports, Web3, DeFi, Open Source, Marketplace, Newsletter, Minimal"", Dark Mode, Gradient, Retro, Light Mode, GSAP, WebGL, ThreeJS"
